primary_energy_consumption,energy_class,reference_number_of_the_epc_report,co2_emission,yearly_theoretical_total_energy_consumption,price,address,listing_type,tenement_building,space,floor,kitchen_type,bedrooms,toilets,heating_type,double_glazing,number_of_floors,number_of_frontages,living_area,living_room_surface,bedroom_1_surface,furnished,terrace_surface,intercom,address2,website,external_reference,agency,building_condition,elevator,accessible_for_disabled_people,swimming_pool,available_as_of,description,type_of_building,outdoor_parking_spaces,bedroom_2_surface,bedroom_3_surface,bedroom_4_surface,bedroom_5_surface,construction_year,living_room,dining_room,laundry_room,basement,air_conditioning,jacuzzi,sauna,internet,surroundings_type,gas_water_and_electricity,id
"206 kWh/m²
kilowatt hour per square meters",D,Not specified,43 kg CO₂/m²,Not specified,"€2,225 (+ €150)
2225€ + 150€ per month",Ask for the exact address,Apartment for rent,No,"3 bedrooms | 155 m²
square meters",2.0,Hyper equipped,"24 m²
square meters",3.0,Gas,Yes,4.0,3.0,"155 m²
square meters","26 m²
square meters","24 m²
square meters",No,"12 m²
square meters",Yes,"Place Burgmann 10B
1050 - Ixelles",http://www.vaneau-lecobel.be,5106933,Vaneau Lecobel Location,As new,Yes,No,No,Depending on the tenant,"Located between the Bois de la Cambre and the Forêt de Soigne, superb apartment with a total area of ± 155 m² in a pretty luxury building from the 80s. It consists of an entrance hall with toilet, a large living room, a super bright dining room, a super equipped kitchen, 3 beautiful large bedrooms (± 24 m², ± 18 m² and ± 13 m²) and their adjoining shower room (two bathrooms and shower) and an equipped laundry room. Pretty terrace (± 12 m²) facing West. Armored door and numerous storage spaces. Cellar included and a parking box at an obligatory supplement (€150/month). Charges: €150/month (Provision for the maintenance of common areas). PEB D. To discover without delay!!",All kind,-1.0,"18 m²
square meters","13 m²
square meters",Unknown,Unknown,1995.0,Possible No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2843
"228 kWh/m²
kilowatt hour per square meters",E,202211250000626746016,45 kg CO₂/m²,Not specified,"€1,450 (+ €260)
1450€ + 260€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 88 m²
square meters",1.0,Hyper equipped,"17 m²
square meters",1.0,Gas,Yes,7.0,3.0,"88 m²
square meters","28 m²
square meters","17 m²
square meters",Yes,Unknown,Yes,"Place Burgmann 10B
1050 - Ixelles",http://www.vaneau-lecobel.be,5106639,Vaneau Lecobel Location,Good,Yes,No,No,To be defined,"Close to Place Brugmann and the Ma Campagne district, superb furnished apartment with a total area of ± 88 m² in a luxury building. It consists of an entrance hall, a large living room (± 27.75 m²), a fully equipped American kitchen, a night hall, 2 beautiful bedrooms (± 17.20 m² and ± 11 m²) and a bathroom. Balcony at the back accessible by a bedroom. Possibility to rent a garage box at the back of the building at an additional cost (€180/month). Charges: €260/month (Provision for heating, water and maintenance of common areas). PEB E+. To discover as soon as possible!!",All kind,1.0,"11 m²
square meters",Unknown,Unknown,Unknown,1962.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2844
"175 kWh/m²
kilowatt hour per square meters",D,201409300000250932018,52 kg CO₂/m²,Not specified,"€1,650 (+ €300)
1650€ + 300€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 93 m²
square meters",2.0,USA hyper equipped,"15 m²
square meters",2.0,Gas,Unknown,5.0,2.0,"93 m²
square meters","29 m²
square meters","15 m²
square meters",No,"7 m²
square meters",Unknown,"Place Burgmann 10B
1050 - Ixelles",http://www.vaneau-lecobel.be,5106071,Vaneau Lecobel Location,Just renovated,Yes,No,No,Depending on the tenant,"Near Place Guy d'Arezzo and the Chaussée de Waterloo, beautiful apartment refurbished in 2014 with a total area of ± 93 m² in a luxury building. It consists of an entrance hall with toilet, a large living room (± 29 m²) with a fully equipped American kitchen (including a laundry area), 2 beautiful bedrooms (± 15 m² and ± 10.50 m² ) with fitted wardrobes in the master bedroom, a bathroom with wc and a shower room adjoining the two bedrooms. South-facing front terrace accessible via the living room and a rear terrace accessible via the master bedroom. Cellar included and possibility of renting a garage box at an additional cost. Quality materials, secure door and double glazing. Charges: €300/month (Provision for heating, water and maintenance of common areas). PEB D. To discover as soon as possible!!",All kind,-1.0,"10 m²
square meters",Unknown,Unknown,Unknown,1969.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2845
"244 kWh/m²
kilowatt hour per square meters",E,Not specified,52 kg CO₂/m²,Not specified,"€2,550 (+ €100)
2550€ + 100€ per month",Ask for the exact address,House for rent,No,"3 bedrooms | 130 m²
square meters",999.0,Hyper equipped,"14 m²
square meters",2.0,Gas,Yes,999.0,3.0,"130 m²
square meters","28 m²
square meters","14 m²
square meters",No,Unknown,Unknown,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",http://www.latouretpetit.be,5106833,Latour et Petit Location,As new,No,No,No,Immediately,"WOLUWE-SAINT-PIERRE, near Parc Woluwe and Shopping. Beautiful HOUSE (3b / 2b) of 130m² with beautiful garden and private parking. This consists of an entrance hall with cloakroom and separate toilet, a living room with open fire and a beautiful dining room, a fully equipped kitchen overlooking the garden, 3 bedrooms, 2 of which have wardrobes, 2 bathrooms and a separate toilet, Laundry room with machine. Parquet everywhere. It is equipped with American blinds and curtains. Provision charge 100 € . PEB: E. To discover at L&P!",All kind,-1.0,"11 m²
square meters","9 m²
square meters",Unknown,Unknown,1920.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2846
"244 kWh/m²
kilowatt hour per square meters",E,Not specified,52 kg CO₂/m²,Not specified,"€2,550 (+ €100)
2550€ + 100€ per month",Ask for the exact address,House for rent,No,"3 bedrooms | 137 m²
square meters",999.0,USA hyper equipped,"14 m²
square meters",3.0,Gas,Yes,999.0,3.0,"137 m²
square meters","30 m²
square meters","14 m²
square meters",No,"55 m²
square meters",Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5106372,Victoire (Location),Good,No,No,No,Immediately,"Woluwe Saint-Pierre, near the Woluwe park and Stockel, beautiful charming house with an area of 137 m² located in an exceptional private domain of 2 hectares with a park with a pond and fully secured with a security system. of camera. The house consists of an entrance hall with separate toilet, a bright living room with fireplace, a fully equipped kitchen and a dining room. The first floor consists of 2 bedrooms and a bathroom with toilet. On the 2nd floor: 1 bedroom, with a balcony, a bathroom and separate toilet and storage. Two outdoor parking spaces. For more information: www.victoire.be",All kind,2.0,"12 m²
square meters","10 m²
square meters",Unknown,Unknown,1950.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2847
"254 kWh/m²
kilowatt hour per square meters",E,116259,49 kg CO₂/m²,Not specified,"€1,650 (+ €120)
1650€ + 120€ per month",Ask for the exact address,Apartment for rent,No,"3 bedrooms | 118 m²
square meters",2.0,USA hyper equipped,"16 m²
square meters",2.0,Gas,Yes,4.0,Unknown,"118 m²
square meters","< than 118 m²
square meters","16 m²
square meters",No,"8 m²
square meters",Yes,"Chaussée de Waterloo 1382
1180 - Uccle",http://www.victoire.be/,5103555,Victoire (Location),As new,Yes,No,No,Immediately,"Close to the place Sainte Alix, the forest of Soignes, transports and shops, magnificent renovated apartment with a surface of 118 m². The apartment consists of an entrance hall with guest toilet, a pleasant and bright living room with open kitchen and terrace, 3 large bedrooms (16-16-14 m²), a bathroom and a shower room. Space for washing machine and dryer. Cellar. Individual gas heating. Garage closed in compulsory supplement for 100 euros.",All kind,1.0,"16 m²
square meters","14 m²
square meters",Unknown,Unknown,1969.0,Yes,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2848
Not specified,Not specified,Not specified,Not specified,Not specified,"€2,050 (+ €50)
2050€ + 50€ per month",1050 — Ixelles,Duplex for rent,No,"2 bedrooms | 135 m²
square meters",1.0,Installed,Unknown,2.0,Gas,Yes,2.0,2.0,"135 m²
square meters","< than 135 m²
square meters",Unknown,Unknown,"1 m²
square meter",Yes,Unknown,Unknown,Unknown,Unknown,As new,No,No,No,Unknown,No description,All kind,1.0,Unknown,Unknown,Unknown,Unknown,2016.0,Possible No,No,Yes,Yes,No,No,No,No,Unknown,Unknown,2849
"250 kWh/m²
kilowatt hour per square meters",E,20221122-,Not specified,Not specified,"€990 (+ €40)
990€ + 40€ per month",1030 — Schaerbeek,Apartment for rent,No,"1 bedroom | 52 m²
square meters",1.0,Installed,"15 m²
square meters",1.0,Gas,Yes,1.0,Unknown,"52 m²
square meters","20 m²
square meters","15 m²
square meters",No,Unknown,Unknown,"Chaussée de Bruxelles 168
1410 - Waterloo",http://www.century21waterlane.be,656 - 93364357,CENTURY 21 WATER LANE,Good,Unknown,Unknown,Unknown,Immediately,"Century 21 Water Lane offers you a beautiful apartment ideally located near the Centennial Park. It is composed of a surface of +/- 52m ² with a luminous living room, a room of +- 16m ², SDD, equipped kitchen, garage, individual cellar. Monthly rent: apartment 850€, garage 125€, load 40€. New individual gas boiler, all meters are individual. PEB E 250 kwh/m² being revised following a renovation. Available immediately. Visits and information via the agency CENTURY 21 Water Lane - 02.42.777.21.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2850
Not specified,Not specified,Not specified,67 kg CO₂/m²,Not specified,"€2,800 (+ €375)
2800€ + 375€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 162 m²
square meters",2.0,USA hyper equipped,Unknown,2.0,Unknown,Yes,5.0,3.0,"162 m²
square meters","< than 162 m²
square meters",Unknown,No,"15 m²
square meters",Unknown,"Rue Washington 128b
1050 - Bruxelles",http://www.tribel-immo.be,9879 - 83,TRIBEL (Transactions Immobilières de Belgique),Unknown,Yes,Unknown,Unknown,Unknown,"IXELLES - BRUXELLES (quartier Toison d'Or), dans un immeuble récent (2016) de haut standing avec service de conciergerie, superbe appartement de +/- 162m² + terrasse, comprenant: hall d'entrée, living en parquet, cuisine ouverte full équipée, 2 chambres, dressing, salle de bains, salle de douche, wc séparé, buanderie. Double vitrage partout. Emplacement de parking inclus dans le loyer. Libre le 1er septembre 2022. Pour conditions et visites: 02 344 88 84 / rent@tribel-immo.be / www.tribel-immo.be (PEB: B)",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,2016.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2851
Not specified,Not specified,Not specified,Not specified,Not specified,"€450 (+ €50)
450€ + 50€ per month",1190 — Forest,Apartment for rent,No,"4 bedrooms | 160 m²
square meters",1.0,Semi equipped,Unknown,2.0,Gas,Yes,2.0,3.0,"160 m²
square meters","< than 160 m²
square meters",Unknown,Unknown,"1 m²
square meter",Yes,Unknown,Unknown,Unknown,Unknown,Good,No,No,No,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,Yes,No,Yes,No,No,No,Yes,Fitted out,Unknown,2852
Not specified,Not specified,Not specified,Not specified,Not specified,"€990 (+ €125)
990€ + 125€ per month",1000 — Bruxelles,Apartment for rent,No,"1 bedroom | 65 m²
square meters",1.0,USA hyper equipped,Unknown,1.0,Gas,Unknown,4.0,2.0,"65 m²
square meters","< than 65 m²
square meters",Unknown,No,"5 m²
square meters",Unknown,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,239675 - 4565974,Trevi Gestea,As new,Yes,Yes,Unknown,Unknown,"A deux pas de la place Rogier, dans une nouvelle construction, bel appartement une chambre avec terrasse. L’appartement se compose d’un hall d’entrée donnant sur un beau living (28.8m²) avec cuisine ouverte et terrasse de 5.4m², la cuisine est entièrement équipée. Une belle chambre de de 15.4m² avec salle de bain et buanderie séparée. Charge : 125 € (charges communes, chauffage et eau). A voir sans tarder INFO & VISITE : Harry Bhatti 0487 70 43 20 ou par mail: hbhatti@trevi.be",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,2019.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2853
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,900 (+ €250)
1900€ + 250€ per month",1200 — WOLUWE-SAINT-LAMBERT,Apartment for rent,No,"3 bedrooms | 150 m²
square meters",4.0,USA hyper equipped,Unknown,1.0,Gas,Yes,4.0,2.0,"150 m²
square meters","< than 150 m²
square meters",Unknown,No,Unknown,Unknown,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,239534 - 4242427,Trevi Gestea,As new,Yes,Yes,Unknown,Unknown,"A deux pas de la place Dumont, dans une rue calme, magnifique duplex penthouse à louer. L’appartement se compose comme suit : hall d’entrée, cuisine, arrière cuisine/ buanderie, grand living avec accès sur de grandes terrasses. A l’étage, se trouvent les trois chambres avec salle de douche ainsi qu’une salle de bain attenante à la grande chambre. Côté technique : chaudière individuelle au gaz, cave privative, deux parkings, provision pour charges commune 250 €/mois. Vous serez séduit par la localisation idéale, le calme et le belles terrasses. A voir sans tarder ! info et visites: lmeert@trevi.be ou 0477 57 98 87",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2854
"67 kWh/m²
kilowatt hour per square meters",B,286898-N-2-35-3-2,14 kg CO₂/m²,Not specified,"€1,400 (+ €152)
1400€ + 152€ per month",1190 — Forest,Apartment for rent,No,"3 bedrooms | 117 m²
square meters",1.0,USA hyper equipped,Unknown,1.0,Gas,Yes,3.0,2.0,"117 m²
square meters","35 m²
square meters",Unknown,No,"7 m²
square meters",Unknown,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,239006 - 4968912,Trevi Gestea,Unknown,Yes,Yes,Unknown,Unknown,"Avenue de Haveskercke, 56, 1190 Forest. Beautiful three bedroom flat, located in a new residence on the first floor. Beautiful three-bedroom flat of 117 m² consisting of an entrance hall, a living room, an open and super equipped kitchen, three beautiful bedrooms, two bathrooms, a laundry room, a separate toilet, a cellar and a magnificent terrace. Quiet and green environment close to transport and train station. You will be seduced by the brightness of the flat, the terrace and the location. Possibility of a parking space - 125 €/month. Provisions for charges: 152€/month common PEB: B. Available from 21 October 2022. Non contractual photos. INFO & VISITS: David Maes - dmaes@trevi.be - 0478/26 43 28.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,2020.0,Possible No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,2855
"128 kWh/m²
kilowatt hour per square meters",C,20130614-0000168765-01-8,25 kg CO₂/m²,Not specified,"€1,950 (+ €150)
1950€ + 150€ per month",1000 — Bruxelles,Apartment for rent,No,"2 bedrooms | 146 m²
square meters",999.0,USA hyper equipped,Unknown,2.0,Gas,Yes,4.0,2.0,"146 m²
square meters","34 m²
square meters",Unknown,No,Unknown,Yes,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,237464 - 5076612,Trevi Gestea,As new,Yes,Yes,Unknown,Unknown,"1000 BRUSSELS (rue des Chartreux 19) - Located in the heart of the city, close to the pedestrian area and all amenities, GESTEA offers a beautiful flat of ± 146m ² composed as follows: entrance hall, kitchen, dining room, living room, 2 bedrooms with bathroom and a glass office of 9.5m ². Rent: 1950€ + 150€ provision of charges including everything except electricity and internet. Available from 1/01/2023. PEB : C More information and visits : David Maes - 0478/26 43 28 - dmaes@trevi.be",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2856
"127 kWh/m²
kilowatt hour per square meters",C,20220425-0000611009-01-1,31 kg CO₂/m²,Not specified,"€1,704 (+ €262)
1704€ + 262€ per month",1050 — Ixelles,Apartment for rent,No,"1 bedroom | 108 m²
square meters",1.0,USA hyper equipped,Unknown,1.0,Gas,Unknown,3.0,Unknown,"108 m²
square meters","< than 108 m²
square meters",Unknown,Yes,"5 m²
square meters",Unknown,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,237427 - 4969368,Trevi Gestea,As new,Yes,Yes,Unknown,Unknown,"Ixelles, between Avenue Louise and Chaussée d'Ixelles, ideally located close to all facilities such as shops, restaurants, cinemas, bars, park, not far from the European Parliament and all public transport. This superb flat of +- 108m² nicely furnished is composed of: hall with cloakroom and guest toilet, living room +- 40m², fully equipped kitchen, bedroom with dressing +- 27m², office space +- 9m², bathroom (double sink, bath, washing machine), terrace +- 10m². The floors are covered with a magnificent solid wood parquet. A cable TV with international channels and high speed internet access complete the equipment of the flat. Every care has also been taken with the bedding and bathroom fittings to ensure optimum comfort. Charges 262€/Month (common, concierge, electricity, water, heating, TV/internet, fitness, sauna, hamman) Fitness and Sauna ""Club Souveraine"" https://www.immobe.be/club.asp. Possibility of parking 150 euros/month Info & visits : david maes - dmaes@trevi.be - 0478/26 43 28",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2857
